NPM,PM,WS,Id,ProcessName,Priority
14016,3186688,10158080,8860,svchost,8
14720,5410816,21463040,17748,RuntimeBroker,8
18864,12251136,16814080,3056,svchost,8
31008,10682368,20828160,5580,svchost,8
3768,1150976,483328,656,smss,11
9040,1720320,2400256,2360,atiesrxx,8
10776,2236416,4337664,3416,svchost,8
25896,71741440,120729600,5312,brave,4
16584,5468160,13520896,1632,svchost,8
8008,5484544,2232320,20176,conhost,6
22992,5545984,27082752,21420,msteamsupdate,8
14040,3264512,5861376,12892,svchost,8
19952,4907008,13828096,10992,svchost,8
7192,1138688,5341184,9324,gamingservicesnet,8
28360,68435968,117325824,19800,brave,4
11928,2732032,4890624,2452,svchost,8
4888,1982464,3575808,864,cmd,8
25320,3837952,7430144,11696,svchost,8
10328,1970176,4182016,4968,svchost,8
20784,11673600,32894976,21416,msedge,8
13048,6889472,18227200,2948,msedge,8
28680,8757248,34500608,16108,SystemSettingsBroker,8
60648,139763712,145358848,2272,WindowsTerminal,8
47320,3465216,7618560,16956,svchost,8
349624,15036416,23683072,4220,nvcontainer,8
10456,5849088,3264512,5692,conhost,8
24440,4825088,7655424,3524,svchost,8
11552,1839104,3473408,8668,LocationNotificationWindows,6
8016,1490944,2359296,4148,gameinputsvc,8
29304,48140288,27897856,17252,OfficeClickToRun,8
22224,6828032,33165312,18164,sihost,8
12480,2908160,6144000,2960,svchost,8
14064,3764224,15712256,9768,gameinputsvc,8
9576,2596864,6451200,20520,IDMMsgHost,8
18536,7102464,13430784,1256,services,9
10120,1646592,8654848,16416,QAAgent,8
35656,47390720,54718464,1612,NVDisplay.Container,8
12368,2813952,12587008,3472,svchost,8
17192,7651328,12111872,4948,svchost,8
88808,304902144,214765568,10176,brave,10
26200,51142656,98369536,22412,brave,4
25656,62042112,121331712,19080,brave,4
50240,53616640,132644864,22084,msedge,8
13456,31547392,26054656,2672,svchost,8
32928,251764736,267534336,20360,brave,4
29304,8802304,16740352,3500,svchost,8
21952,9744384,29421568,11480,nvcontainer,8
68256,88694784,22007808,3032,WhatsApp,8
31504,25030656,8667136,9868,StorPSCTL,6
16192,3235840,18378752,9116,PSAdminAgent,8
10384,2220032,4976640,2760,svchost,8
16648,2326528,4169728,12200,svchost,8
8272,1290240,5935104,20456,svchost,8
41352,28323840,47312896,9076,ShellExperienceHost,8
11000,2220032,9162752,8252,OpenConsole,8
9240,1978368,8343552,10948,svchost,8
9696,1773568,1101824,20116,BraveCrashHandler64,8
25016,41971712,91156480,7232,brave,4
13416,2695168,12120064,12108,OpenConsole,8
51456,69033984,10076160,6876,ACCStd,6
31376,12050432,47767552,3980,RuntimeBroker,8
5840,1114112,2678784,4520,svchost,8
11552,2113536,4800512,8488,svchost,8
28072,9474048,26271744,5400,gamingservices,8
33832,35565568,15900672,4136,svchost,8
24840,39350272,95498240,22508,brave,4
76176,173051904,39108608,9808,RadeonSoftware,8
