brave,12708,28676.692556921575,4
RtkAudUService64,8576,52707.80058651026,8
brave,3708,70832.1608300908,8
RuntimeBroker,1804,50876.20751341682,8
taskhostw,10692,84591.0409495549,8
svchost,3876,52266.15551930397,8
svchost,1544,26645.87053236691,8
brave,12328,52599.45001501051,8
svchost,11304,65885.43939393939,8
QASvc,12700,15543.33199195171,8
brave,9564,39250.534236527594,4
HostAppServiceUpdater,12428,15819.659367396594,6
SystemSettings,17844,2303.501194675162,8
conhost,6584,57142.005479452055,8
RuntimeBroker,11132,80362.29207920792,8
xTendUtilityService,5016,6448.232419223459,8
svchost,2344,13250.14402618658,8
msedge,11124,42606.52173913043,8
brave,6896,36479.341337907375,8
svchost,1408,50301.43475716793,8
conhost,15016,9690.100525131284,8
RuntimeBroker,13116,75525.51770657673,8
csrss,19420,36209.097625329814,13
QAAdminAgent,1756,24840.899876390606,8
svchost,11956,48895.88516746411,8
svchost,2300,27438.286634460546,8
amdfendrsr,2352,8454.15015015015,8
svchost,1928,24704.35129740519,8
svchost,20420,54524.57142857143,8
brave,20264,115779.9482142282,8
svchost,11628,77782.26275787188,8
ctfmon,9296,73027.6073619632,13
brave,13816,48860.67785771383,8
svchost,2968,28680.276729559748,8
msedge,16720,31338.499445061043,4
nvsphelper64,8812,61103.27770177839,8
csrss,708,39282.748844375965,13
DataExchangeHost,22320,68787.19809069212,10
WidgetService,11228,84440.82873851295,8
LockApp,18076,46351.713377146494,8
svchost,2264,31575.890049477734,8
svchost,18812,15138.221928082947,8
svchost,4156,16304.0,8
adb,4852,76375.60507757404,8
PhoneExperienceHost,17604,76233.63322966633,8
brave,13796,49205.24163568773,8
svchost,3688,5759.299539170507,8
svchost,1728,24355.470511140236,8
BraveCrashHandler,9424,8822.260869565218,8
brave,11232,36426.07966951903,4
brave,3356,44996.311942959,4
svchost,4184,19931.006369426752,8
MsMpEng,5860,94504.98236255127,8
System,4,12889.777777777777,8
fontdrvhost,6944,23227.107769423557,8
RuntimeBroker,15608,61803.86341463414,8
svchost,7736,48665.11166253102,8
AMDRSServ,19652,109678.24083769633,8
MoUsoCoreWorker,3212,19381.92652971306,8
IDMan,16776,111931.02935711632,8
NVDisplay.Container,2256,23750.747603833865,8
MoNotificationUx,16504,57769.085545722715,8
svchost,8128,65038.22222222222,8
svchost,1588,24034.31505250875,8
StartMenuExperienceHost,15852,52143.62345712875,8
SecurityHealthService,3640,52391.19711971197,8
brave,12656,57260.25284601558,4
msedge,15912,45022.0454205141,10
brave,14496,55982.77162149662,4
svchost,1692,21007.520259319288,8
xTendUtility,5664,9622.548672566372,8
svchost,4028,19653.866666666665,8
conhost,8132,3619.042944785276,8
NisSrv,19940,34479.95195195195,8
svchost,1780,26654.444444444445,8
brave,6220,53106.07836758835,4
svchost,14088,37162.393162393164,8
UserOOBEBroker,15400,47265.67164179104,8
svchost,6748,49706.0,8
svchost,5588,23711.665594855305,8
DtsApo4Service,4228,3981.7728168089297,8
dwm,10656,42705.233337866535,13
RuntimeBroker,5812,49814.98265895954,8
smartscreen,21132,44423.0,8
svchost,3148,38408.7881773399,8
ApplicationFrameHost,10564,48942.66083150985,8
svchost,22012,23745.91616766467,8
svchost,3276,17722.615384615383,8
SecurityHealthSystray,11556,55943.333333333336,8
svchost,15764,103077.92507204611,8
svchost,9708,76658.19975339087,8
Fetch,17576,29041.127516778524,8
spoolsv,3812,38994.25563909775,8
SearchHost,18484,54460.0791398944,8
PSAgent,5140,13838.900343642612,6
brave,3824,28590.394014962592,8
svchost,3176,20998.919480519482,8
svchost,2400,33161.3076142132,8
brave,8776,39890.61778823273,4
SDXHelper,9056,34217.39731285989,8
dllhost,11804,34630.00426439232,8
svchost,12076,16075.058275058274,8
RtkAudUService64,14980,42214.74909090909,8
brave,20436,42971.30208588957,4
svchost,1856,39439.69891053153,8
WmiPrvSE,3104,13634.772462077013,8
NitroSense,19164,41862.24,8
RuntimeBroker,16660,88246.30638297873,8
lsass,1284,65401.10396975425,9
svchost,1792,33028.94941634241,8
IEMonitor,12168,70786.47342995169,8
explorer,11936,292293.57718266925,8
svchost,20716,38681.104033970274,8
brave,20092,46228.148148148146,4
winlogon,12688,57336.886035313,13
svchost,1672,27296.258706467663,8
brave,12368,45809.355735525205,4
svchost,10164,84834.71535982814,8
cmd,6612,16061.863818424566,8
svchost,9792,52890.78979343864,8
svchost,2752,13205.87951807229,8
KillerAnalyticsService,4244,10561.727395411606,8
svchost,21776,59826.24635761589,8
svchost,2784,8480.794701986755,8
brave,16164,47194.159745809135,4
ai,21516,22568.889570552146,8
svchost,4400,41312.23116615067,8
Widgets,17456,106489.71829667759,8
brave,15040,42892.74697394154,4
powershell,15992,34114.00176418701,8
svchost,3284,31259.37797956867,8
brave,1120,33461.806270472625,8
brave,13772,45541.656334575906,4
PSSvc,9520,14620.15806805708,8
svchost,19464,52108.62254025045,8
KillerNetworkService,5280,1773.6079622839184,8
nvcontainer,14596,25720.67518977227,8
Registry,176,57972.99616858237,8
ACCSvc,4256,7293.023255813953,8
ePowerButton_NB,7572,3230.297182554998,6
conhost,6452,23000.33926128591,8
wlanext,19304,14118.48231511254,8
svchost,3780,17507.922307239554,8
RtkAudUService64,4236,25192.96,8
svchost,4164,47449.03626943005,8
wininit,1124,26288.45871559633,13
svchost,2908,37734.298210735586,8
unsecapp,15540,46726.58823529412,8
svchost,9900,15287.366703982088,8
dasHost,13644,8900.583554376657,8
POWERPNT,21340,85732.01860465117,8
svchost,16752,104882.19765494137,8
brave,7928,48538.30678798615,4
