svchost.exe,9640,"2,212 K",8
svchost.exe,10248,"2,624 K",8
svchost.exe,11152,"1,528 K",8
svchost.exe,11212,"4,236 K",8
SecurityHealthService.exe,13048,"7,492 K",8
PSSvc.exe,13136,"12,660 K",8
PSAdminAgent.exe,12192,"3,056 K",8
QASvc.exe,12592,"3,708 K",8
QAAgent.exe,1436,"1,756 K",8
QAAdminAgent.exe,1820,"20,824 K",8
svchost.exe,5408,"5,680 K",8
svchost.exe,14548,"2,240 K",8
svchost.exe,11368,"2,044 K",8
svchost.exe,6780,"7,188 K",8
SgrmBroker.exe,11500,"6,480 K",8
svchost.exe,15128,"2,852 K",8
svchost.exe,11816,"3,100 K",8
svchost.exe,8228,"2,424 K",8
svchost.exe,15332,"1,808 K",8
svchost.exe,8668,"1,732 K",8
svchost.exe,14460,"1,692 K",8
svchost.exe,14760,"3,528 K",8
svchost.exe,15428,"1,244 K",8
svchost.exe,13680,"1,468 K",8
svchost.exe,3996,"3,252 K",8
svchost.exe,17396,"3,284 K",8
svchost.exe,10660,"9,996 K",8
lsass.exe,1260,"8,296 K",9
fontdrvhost.exe,1416,"1,480 K",8
csrss.exe,1120,"10,348 K",13
winlogon.exe,1192,"2,556 K",13
fontdrvhost.exe,1420,"5,492 K",8
dwm.exe,1660,"1,47,084 K",13
explorer.exe,9060,"1,47,492 K",8
SecurityHealthSystray.exe,13028,"2,004 K",8
RtkAudUService64.exe,13240,"4,336 K",8
RiotClientServices.exe,12296,"90,592 K",8
RiotClientCrashHandler.exe,13436,"1,692 K",8
Code.exe,2284,"53,448 K",8
Code.exe,3744,"10,976 K",8
Code.exe,5504,"2,03,160 K",10
Code.exe,7024,"13,524 K",8
Code.exe,14232,"1,75,236 K",4
Code.exe,10272,"33,160 K",8
conhost.exe,11744,"1,312 K",8
powershell.exe,10264,"55,392 K",8
Code.exe,14116,"36,616 K",8
Code.exe,14148,"24,004 K",8
Code.exe,14204,"1,02,484 K",8
Code.exe,11740,"1,39,796 K",8
Code.exe,3608,"19,780 K",8
NVIDIA Web Helper.exe,9692,"32,272 K",6
conhost.exe,9756,"5,380 K",6
PSAgent.exe,12668,"2,312 K",6
RadeonSoftware.exe,10168,"1,67,556 K",8
AMDRSServ.exe,13112,"4,548 K",8
msedge.exe,7812,"52,632 K",8
msedge.exe,2564,"2,172 K",8
msedge.exe,2984,"39,828 K",10
msedge.exe,10144,"13,832 K",8
msedge.exe,8744,"6,872 K",8
msedge.exe,15308,"14,668 K",4
msedge.exe,1844,"21,704 K",8
splwow64.exe,2960,"3,772 K",8
AutoHotkeyU64.exe,14480,"2,388 K",8
procexp.exe,10848,"5,568 K",8
procexp64.exe,11256,"35,348 K",13

